route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4486_88254,340,4492_3664,Rossmore,5145,0,4492_7778195_5150014,4492_99
4486_88254,340,4492_3665,Rossmore,5210,0,4492_7778195_5150009,4492_99
4486_88254,341,4492_3666,Rossmore,12650,0,4492_7778195_5150006,4492_100
4486_88254,342,4492_3667,Rossmore,18448,0,4492_7778195_5150005,4492_99
4486_88254,340,4492_3668,Rossmore,5131,0,4492_7778195_5150011,4492_99
4486_88254,341,4492_3669,Rossmore,12581,0,4492_7778195_5150002,4492_99
4492_88176,341,4492_367,Sandyford B.D.,14196,0,4492_7778195_1011004,4492_7
4486_88254,340,4492_3670,Rossmore,5160,0,4492_7778195_5150003,4492_99
4486_88254,342,4492_3671,Rossmore,18421,0,4492_7778195_5150006,4492_99
4486_88254,341,4492_3672,Rossmore,12590,0,4492_7778195_5150005,4492_99
4486_88254,340,4492_3673,Rossmore,5120,0,4492_7778195_5150015,4492_99
4486_88254,340,4492_3674,Rossmore,5144,0,4492_7778195_5150010,4492_99
4486_88254,341,4492_3675,Rossmore,12610,0,4492_7778195_5150003,4492_100
4486_88254,342,4492_3676,Rossmore,18438,0,4492_7778195_5150004,4492_99
4486_88254,340,4492_3677,Rossmore,5175,0,4492_7778195_5150008,4492_99
4486_88254,341,4492_3678,Rossmore,12623,0,4492_7778195_5150007,4492_99
4486_88254,340,4492_3679,Rossmore,5193,0,4492_7778195_5150013,4492_99
4492_88176,342,4492_368,Sandyford B.D.,19513,0,4492_7778195_1011002,4492_7
4486_88254,342,4492_3680,Rossmore,18450,0,4492_7778195_5150005,4492_100
4486_88254,341,4492_3681,Rossmore,12638,0,4492_7778195_5150004,4492_99
4486_88254,340,4492_3682,Rossmore,5190,0,4492_7778195_5150004,4492_99
4486_88254,342,4492_3683,Rossmore,18423,0,4492_7778195_5150006,4492_99
4486_88254,341,4492_3684,Rossmore,12583,0,4492_7778195_5150002,4492_100
4486_88254,340,4492_3685,Rossmore,5133,0,4492_7778195_5150011,4492_99
